output variable name,WRF variable,units,ag,long_name,standard_name,mon,day,6hr,3hr,1hr,Priority
tas,T2,K,i,Near-Surface Air Temperature,air_temperature,x,x,,,x,CORE
tasmax,T2,K,,Daily Maximum Near-Surface Air Temperature,air_temperature,x,x,,,,CORE
tasmin,T2,K,,Daily Minimum Near-Surface Air Temperature,air_temperature,x,x,,,,CORE
pr,-999,kg m-2 s-1,a,Precipitation,precipitation_flux,x,x,,,x,CORE
evspsbl,QFX,kg m-2 s-1,a,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,x,x,,,x,CORE
huss,Q2,1,i,Near-Surface Specific Humidity,specific_humidity,x,x,,,x,CORE
hurs,-999,%,i,Near-Surface Relative Humidity,relative_humidity,x,x,,,x,CORE
ps,PSFC,Pa,i,Surface Air Pressure,surface_air_pressure,x,x,,,x,CORE
psl,-999,Pa,i,Sea Level Pressure,air_pressure_at_mean_sea_level,x,x,,,x,CORE
sfcWind,-999,m s-1,i,Near-Surface Wind Speed,wind_speed,x,x,,,x,CORE
uas,U10,m s-1,i,Eastward Near-Surface Wind,eastward_wind,x,x,,,x,CORE
vas,V10,m s-1,i,Northward Near-Surface Wind,northward_wind,x,x,,,x,CORE
clt,CLDFRA,%,a,Total Cloud Cover Percentage,cloud_area_fraction,x,x,,,x,CORE
rsds,ACSWDNB,W m-2,a,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,x,x,,,x,CORE
rlds,ACLWDNB,W m-2,a,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,x,x,,,x,CORE
orog,HGT,m,,Surface Altitude,surface_altitude,,,,,,CORE
sftlf,XLAND,%,,Percentage of the Grid Cell Occupied by Land,land_area_fraction,,,,,,CORE
evspsblpot,POTEVP,kg m-2 s-1,a,Potential Evapotranspiration,water_potential_evaporation_flux,x,x,,,x,TIER 2
wsgsmax,-999,m s-1,,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust ,x,x,,,,TIER 2
clh,CLDFRA,%,a,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,x,x,x,,,TIER 2
clm,CLDFRA,%,a,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,x,x,x,,,TIER 2
cll,CLDFRA,%,a,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,x,x,x,,,TIER 2
rsdscs,ACSWDNBC,W m-2,a,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,x,x,x,,,TIER 2
rldscs,ACLWDNBC,W m-2,a,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,x,x,x,,,TIER 2
