out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
anthroheat,1hr,W/m2,Anthropogenic heat flux,anthropogenic_heatflux,,URB-URB-RCC,,On grid cell avarage,area: areacella,,,,,,real,,
anthroheat,day,W/m2,Anthropogenic heat flux,anthropogenic_heatflux,,URB-URB-RCC,,On grid cell avarage,area: areacella,,,,,,real,,
anthroheat,mon,W/m2,Anthropogenic heat flux,anthropogenic_heatflux,,URB-URB-RCC,,On grid cell avarage,area: areacella,,,,,,real,,
areacella,fx,m2,Atmosphere Grid-Cell Area,cell_area,,,CONV-CORE,,area: areacella,area: sum,longitude latitude,,,,real,,
cape,day,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,,,CONV-TIER1,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
cg_lightning,day,counts,Cloud-ground lightning flashes,cg_lightning,,,CONV-TIER1,explicitly declare how the separation between IC and CG was performed,,time: sum,,,,,,,
cin,day,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,,,CONV-TIER1,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
clgvi,1hr,kg m-2,Vertical integral of mass content of graupel,atmosphere_mass_content_of_graupel,,,CONV-TIER1,,,time: point,,,,,,,
clhvi,1hr,kg m-2,Vertical integral of mass content of hail,atmosphere_mass_content_of_hail,,,CONV-TIER1,,,time: point,,,,,,,
clivi,1hr,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,,URB-CORE,CONV-CORE,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
clwvi,1hr,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,,URB-CORE,CONV-CORE,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
evspsblpot,1hr,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,,,CONV-CORE,,area: areacella,area: mean where land time: mean,longitude latitude time,,,,real,,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,,URB-CORE,CONV-CORE,,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
hfls,day,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
hfls,mon,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
hfso,1hr,W m-2,Ground Heat Flux,downward_heat_flux_in_soil,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
hfso,day,W m-2,Ground Heat Flux,downward_heat_flux_in_soil,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
hfso,mon,W m-2,Ground Heat Flux,downward_heat_flux_in_soil,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
