out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tas,mon,K,Near-Surface Air Temperature,air_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
tas,day,K,Near-Surface Air Temperature,air_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
huss,day,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ps,day,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
orog,fx,m,Surface Altitude,surface_altitude,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
ts,mon,K,Surface Temperature,surface_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ts,day,K,Surface Temperature,surface_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ts,1hr,K,Surface Temperature,surface_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
tsl,mon,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
tsl,day,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
tsl,6hr,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
prc,mon,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prc,day,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prc,1hr,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prhmax,mon,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour.,area: mean time: mean within hours time: maximum over hours,area: areacella,longitude latitude time,real,,,,,
prhmax,day,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour.,area: mean time: mean within hours time: maximum over hours,area: areacella,longitude latitude time,real,,,,,
