out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
ts,1hr,K,Surface Temperature,surface_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
wsgsmax,1hr,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,CORE,,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height10m,real,,,,,
wsgsmax,day,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,CORE,,area: mean time: maximum,area: areacella,longitude latitude time height10m,real,,,,,
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,CORE,Maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height10m,real,,,,,
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
ua100m,1hr,m s-1,Eastward Wind at 100m,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height100m,real,,,,,
ua1000,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ua925,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
ua850,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
ua700,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ua500,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ua200,3hr,m s-1,Eastward Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
va100m,1hr,m s-1,Northward Wind at 100m,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height100m,real,,,,,
va1000,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
va925,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
va850,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
va700,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
va500,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
va200,3hr,m s-1,Northward Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
wa1000,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
wa925,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
wa850,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
wa700,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
wa500,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
wa200,3hr,m s-1,Upward Air Velocity,upward_air_velocity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
hus1000,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
hus925,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
hus850,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
hus700,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
hus500,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
hus200,3hr,1,Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
ta1000,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ta925,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
ta850,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
ta700,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ta500,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ta200,3hr,K,Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
zg1000,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
zg925,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
zg850,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
zg700,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
zg500,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
zg200,6hr,m,Geopotential Height,geopotential_height,CORE,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
ps,6hr,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
psl,6hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsblpot,1hr,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,CORE,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
snc,day,%,Snow Area Percentage,surface_snow_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
