out_name,frequency,units,long_name,priority,priority_urb,priority_conv,comment
anthroheat,1hr,W/m2,Anthropogenic heat flux,,URB-URB-RCC,,On grid cell avarage
anthroheat,day,W/m2,Anthropogenic heat flux,,URB-URB-RCC,,On grid cell avarage
anthroheat,mon,W/m2,Anthropogenic heat flux,,URB-URB-RCC,,On grid cell avarage
areacella,fx,m2,Atmosphere Grid-Cell Area,,,CONV-CORE,
cape,day,J kg-1,Convective Available Potential Energy,,,CONV-TIER1,
cg_lighning,day,counts,Cloud-ground lightning flashes,,,CONV-TIER1,explicitly declare how the separation between IC and CG was performed
cin,day,J kg-1,Convective Inhibition,,,CONV-TIER1,
clgvi,1hr,kg m-2,Vertical integral of mass content of graupel,,,CONV-TIER1,
clhvi,1hr,kg m-2,Vertical integral of mass content of hail,,,CONV-TIER1,
clivi,1hr,kg m-2,Ice Water Path,,,CONV-CORE,
clt,1hr,%,Total Cloud Cover Percentage,,URB-CORE,CONV-CORE,
clt,day,%,Total Cloud Cover Percentage,,URB-CORE,,
clt,mon,%,Total Cloud Cover Percentage,,URB-CORE,,
clwvi,1hr,kg m-2,Condensed Water Path,,,CONV-CORE,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,,URB-CORE,CONV-CORE,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,,URB-CORE,,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,,URB-CORE,,
evspsblpot,1hr,kg m-2 s-1,Potential Evapotranspiration,,,CONV-CORE,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,,URB-CORE,CONV-CORE,
hfls,day,W m-2,Surface Upward Latent Heat Flux,,URB-CORE,,
hfls,mon,W m-2,Surface Upward Latent Heat Flux,,URB-CORE,,
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,,URB-CORE,CONV-CORE,
hfss,day,W m-2,Surface Upward Sensible Heat Flux,,URB-CORE,,
hfss,mon,W m-2,Surface Upward Sensible Heat Flux,,URB-CORE,,
hurs,1hr,%,Near-Surface Relative Humidity,I4C-CORE,URB-CORE,,#T33 #WP6
hurs,day,%,Near-Surface Relative Humidity,I4C-CORE,URB-CORE,,#T33 #WP4
hurs,mon,%,Near-Surface Relative Humidity,,URB-CORE,,
hurscan,1hr,%,Near-Surface Relative Humidity within canyon,,URB-URB-RCC,,
hurscan,day,%,Near-Surface Relative Humidity within canyon,,URB-URB-RCC,,
hurscan,mon,%,Near-Surface Relative Humidity within canyon,,URB-URB-RCC,,
hus1000,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus1000,3hr,1,Specific Humidity,,,CONV-CORE,
hus1000,day,1,Specific Humidity,I4C-TIER1,,,#T33
hus200,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus200,3hr,1,Specific Humidity,,,CONV-CORE,
hus200,day,1,Specific Humidity,I4C-TIER1,,,#T33
hus500,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus500,3hr,1,Specific Humidity,,,CONV-CORE,
hus500,day,1,Specific Humidity,I4C-TIER1,,,#T33
hus50m,1hr,1,Specific Humidity at 50m,,URB-TIER1,,requested for urban modeling
hus50m,day,1,Specific Humidity at 50m,,URB-TIER1,,requested for urban modeling
hus50m,mon,1,Specific Humidity at 50m,,URB-TIER1,,requested for urban modeling
hus700,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus700,3hr,1,Specific Humidity,,,CONV-CORE,
hus700,day,1,Specific Humidity,I4C-TIER1,,,#T33
hus850,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus850,3hr,1,Specific Humidity,,,CONV-CORE,
hus850,day,1,Specific Humidity,I4C-TIER1,,,#T33
hus925,1hr,1,Specific Humidity,I4C-TIER1,,,#T33
hus925,3hr,1,Specific Humidity,,,CONV-CORE,
hus925,day,1,Specific Humidity,I4C-TIER1,,,#T33
huss,1hr,1,Near-Surface Specific Humidity,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6
huss,day,1,Near-Surface Specific Humidity,I4C-CORE,URB-CORE,,#T33
huss,mon,1,Near-Surface Specific Humidity,,URB-CORE,,
husscan,1hr,1,Near-Surface Specific Humidity within canyon,,URB-URB-RCC,,
husscan,day,1,Near-Surface Specific Humidity within canyon,,URB-URB-RCC,,
husscan,mon,1,Near-Surface Specific Humidity within canyon,,URB-URB-RCC,,
ic_lightning,day,counts,Intra-cloud lightning flashes,,,CONV-TIER1,explicitly declare how the separation between IC and CG was performed
mrro,1hr,kg m-2 s-1,Total Runoff,I4C-CORE,,CONV-CORE,#WP6
mrros,1hr,kg m-2 s-1,Surface Runoff,I4C-CORE,,CONV-CORE,#WP6
mrso,1hr,kg m-2,Total Soil Moisture Content,I4C-CORE,,,"#WP6 The mass of water in all phases per unit area, summed over all soil layers."
mrso,day,kg m-2,Total Soil Moisture Content,,,CONV-CORE,"The mass of water in all phases per unit area, summed over all soil layers."
mrsofc,fx,kg m-2,Capacity of Soil to Store Water  (Field Capacity),,URB-TIER2,CONV-CORE,
mrsol,day,kg m-2,Total Water Content of Soil Layer,,,CONV-CORE,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.
orog,fx,m,Surface Altitude,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6
pr,1hr,kg m-2 s-1,Precipitation,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6
pr,day,kg m-2 s-1,Precipitation,I4C-CORE,URB-CORE,,#T33 #WP4 #WP6
pr,mon,kg m-2 s-1,Precipitation,I4C-CORE,URB-CORE,,#T33
prc,1hr,kg m-2 s-1,Convective Precipitation,,URB-TIER1,,
prc,day,kg m-2 s-1,Convective Precipitation,,URB-TIER1,,
prc,mon,kg m-2 s-1,Convective Precipitation,,URB-TIER1,,
prw,1hr,kg m-2,Water Vapor Path,,,CONV-CORE,
ps,1hr,Pa,Surface Air Pressure,I4C-CORE,URB-CORE,,#WP6
ps,6hr,Pa,Surface Air Pressure,,,CONV-CORE,
ps,day,Pa,Surface Air Pressure,,URB-CORE,,
ps,mon,Pa,Surface Air Pressure,,URB-CORE,,
psl,1hr,Pa,Sea Level Pressure,I4C-CORE,URB-CORE,,#T33
psl,6hr,Pa,Sea Level Pressure,,,CONV-CORE,
psl,day,Pa,Sea Level Pressure,I4C-CORE,URB-CORE,,#T33
psl,mon,Pa,Sea Level Pressure,,URB-CORE,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6
rlds,day,W m-2,Surface Downwelling Longwave Radiation,I4C-CORE,URB-CORE,,#T33 #WP6
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,,URB-CORE,,
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,,,CONV-CORE,
rootd,fx,m,Maximum Root Depth,,,CONV-CORE,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,I4C-CORE,URB-CORE,,#T33 #WP6
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,,URB-CORE,,
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,,,CONV-CORE,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,I4C-CORE,URB-CORE,,#T33 #WP6
sfcWind,day,m s-1,Near-Surface Wind Speed,I4C-CORE,URB-CORE,,#T33 #WP4 #WP6
sfcWind,mon,m s-1,Near-Surface Wind Speed,I4C-CORE,URB-CORE,,#T33
sfcWindcan,1hr,m s-1,Near-Surface Wind Speed within canyon,,URB-URB-RCC,,
sfcWindcan,day,m s-1,Near-Surface Wind Speed within canyon,,URB-URB-RCC,,
sfcWindcan,mon,m s-1,Near-Surface Wind Speed within canyon,,URB-URB-RCC,,
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,,,CONV-CORE,Maximum from all integrated time steps per day
